Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2024-02-20 15:55:00;2024-Q1;189.66;190.38;189.66;190.38;19;0.38;4.24;6.45;3.1;Neutro;100
2025-12-08 12:35:00;2025-Q4;453.6;453.6;450.6;451.0;22;-0.57;-4.13;6.71;5.0;Neutro;100
2021-06-07 12:55:00;2021-Q2;159.68;160.75;159.68;160.75;17;0.67;4.29;6.22;3.7;Neutro;100
2023-01-13 10:10:00;2023-Q1;147.46;149.33;147.46;149.18;18;1.17;5.57;9.18;3.4;Alta;100
2023-01-13 10:30:00;2023-Q1;149.66;149.66;148.47;148.47;9;-0.8;-4.6;7.53;2.9;Neutro;100
2021-01-29 10:35:00;2021-Q1;120.45;120.45;119.81;119.81;10;-0.53;-3.58;7.67;4.3;Neutro;100
2023-08-31 10:20:00;2023-Q3;150.66;151.67;150.66;151.47;27;0.54;3.31;6.59;4.5;Neutro;100
2023-08-31 10:35:00;2023-Q3;151.87;152.64;151.87;152.64;22;0.51;3.34;5.62;5.4;Neutro;100
2021-01-26 14:00:00;2021-Q1;123.14;123.14;122.24;122.8;23;-0.28;-2.31;11.27;6.7;Neutro;100
2024-07-12 11:45:00;2024-Q3;257.85;260.31;257.85;260.19;50;0.91;4.75;6.06;4.2;Alta;100
2024-01-17 10:20:00;2024-Q1;178.8;179.0;177.59;177.71;58;-0.61;-3.15;5.4;6.4;Neutro;100
2023-01-17 10:30:00;2023-Q1;150.11;150.34;149.29;149.29;19;-0.55;-4.54;8.05;5.6;Neutro;100
2021-04-27 11:30:00;2021-Q2;138.89;140.08;138.89;139.75;30;0.62;3.14;6.54;5.3;Neutro;100
2022-09-09 11:40:00;2022-Q3;206.6;208.21;206.6;208.21;34;0.78;5.02;5.96;5.0;Neutro;100
2024-07-15 10:55:00;2024-Q3;253.59;253.59;252.14;252.36;62;-0.49;-3.2;4.58;8.8;Neutro;100
2024-01-11 15:25:00;2024-Q1;182.39;183.2;182.39;183.2;118;0.44;2.54;3.4;11.2;Neutro;100
2022-09-22 11:10:00;2022-Q3;200.94;200.94;199.48;199.83;34;-0.55;-3.79;6.22;5.0;Neutro;100
2024-07-03 11:05:00;2024-Q3;236.15;236.83;234.32;234.49;36;-0.7;-3.71;7.42;4.4;Neutro;100
2025-04-23 10:45:00;2025-Q2;425.8;429.19;425.8;429.19;58;0.8;4.32;5.86;6.6;Neutro;100
2021-05-05 13:05:00;2021-Q2;145.2;145.2;143.23;143.73;37;-1.01;-3.95;6.25;3.6;Baixa;100
2024-10-02 10:45:00;2024-Q4;270.8;270.8;269.55;269.55;68;-0.46;-3.4;4.65;7.2;Neutro;100
2025-06-25 11:00:00;2025-Q2;341.65;341.65;337.89;337.89;24;-1.1;-5.75;7.32;2.9;Baixa;100
2021-10-21 11:20:00;2021-Q4;196.25;196.25;193.66;194.42;28;-0.93;-3.27;6.48;4.4;Baixa;100
2021-10-22 12:30:00;2021-Q4;191.47;191.47;187.56;189.07;54;-1.25;-6.49;12.75;7.2;Baixa;100
2022-01-03 10:15:00;2022-Q1;209.62;209.62;207.05;207.79;31;-0.87;-4.62;7.47;3.6;Baixa;100
2023-10-27 14:55:00;2023-Q4;156.54;156.54;155.5;155.5;49;-0.66;-4.09;4.88;6.7;Neutro;100
2021-12-16 10:30:00;2021-Q4;219.77;219.77;217.94;217.94;32;-0.83;-4.8;6.51;4.7;Baixa;100
2021-12-16 13:35:00;2021-Q4;219.11;220.59;219.11;220.59;38;0.68;4.18;6.01;9.2;Neutro;100
2021-04-29 10:50:00;2021-Q2;140.49;140.49;138.64;139.54;20;-0.68;-3.77;12.73;3.3;Neutro;100
2021-04-29 11:05:00;2021-Q2;138.64;138.64;137.25;137.25;27;-1.0;-6.12;11.48;5.0;Baixa;100
2024-07-02 12:10:00;2024-Q3;235.63;238.49;235.63;237.85;68;0.94;4.39;7.89;5.9;Alta;100
2021-01-21 15:05:00;2021-Q1;123.61;124.21;123.61;124.21;4;0.49;4.52;7.98;1.4;Neutro;100
2023-09-11 10:40:00;2023-Q3;147.64;148.65;147.64;148.61;28;0.66;4.78;7.34;4.4;Neutro;100
2025-11-12 10:20:00;2025-Q4;485.94;486.28;480.34;480.34;93;-1.15;-4.83;9.2;6.7;Baixa;100
2025-11-12 10:25:00;2025-Q4;481.45;482.37;475.84;475.84;57;-1.17;-5.65;11.15;6.2;Baixa;100
2025-11-12 10:30:00;2025-Q4;475.41;475.41;469.9;473.18;27;-0.47;-2.72;10.46;4.2;Neutro;100
2024-10-04 10:05:00;2024-Q4;266.38;269.72;265.99;269.72;33;1.25;6.58;11.33;5.0;Alta;100
2022-06-29 10:20:00;2022-Q2;210.19;218.4;210.19;215.56;97;2.55;7.83;15.76;6.4;Alta;100
2023-01-06 10:40:00;2023-Q1;154.44;156.35;154.44;155.45;15;0.65;4.54;11.5;3.5;Neutro;100
2021-05-06 12:20:00;2021-Q2;147.01;148.53;147.01;148.48;50;1.0;4.2;6.1;5.1;Alta;100
2021-05-06 12:40:00;2021-Q2;149.06;150.95;149.06;149.84;59;0.52;2.65;8.03;8.8;Neutro;100
2021-05-07 11:20:00;2021-Q2;147.34;147.34;146.02;146.02;22;-0.9;-3.8;6.52;4.9;Baixa;100
2022-09-27 10:30:00;2022-Q3;203.85;203.85;201.36;202.16;35;-0.83;-4.5;6.9;3.1;Baixa;100
